freq : 83.33 MHz
SWR : 1.965000
Theta     Phi     Gain(dB)     Gain     Phase(deg)
105        330        -0.884      -125.5796      -110.2923      
105        345        -0.889      -125.5898      -106.8926      
105        360        -0.8915      -125.5948      11.8089      
120        0        -1.777      -125.7585      12.6102      
120        15        -1.7747      -125.7536      68.6352      
120        30        -1.7699      -125.7435      65.6046      
120        45        -1.7667      -125.7379      39.2269      
120        60        -1.7676      -125.7417      -85.9267      
120        75        -1.7708      -125.7505      -95.3298      
120        90        -1.7726      -125.755      139.6299      
120        105        -1.7708      -125.7505      85.575      
120        120        -1.7676      -125.7417      94.6844      
120        135        -1.7667      -125.7379      -142.3397      
120        150        -1.7699      -125.7435      -114.4977      
120        165        -1.7747      -125.7536      -111.0726      
120        180        -1.777      -125.7585      150.0606      
120        195        -1.7747      -125.7536      70.0768      
120        210        -1.7699      -125.7435      66.3237      
120        225        -1.7667      -125.7379      39.4661      
120        240        -1.7676      -125.7417      -85.008      
120        255        -1.7708      -125.7505      -93.5113      
120        270        -1.7726      -125.755      9.8225      
120        285        -1.7708      -125.7505      82.2153      
120        300        -1.7676      -125.7417      90.2843      
120        315        -1.7667      -125.7379      -137.1511      
120        330        -1.7699      -125.7435      -112.1726      
120        345        -1.7747      -125.7536      -108.6549      
120        360        -1.777      -125.7585      12.6102      
135        0        -3.4549      -125.9818      14.1619      
135        15        -3.4529      -125.9776      67.4905      
135        30        -3.4488      -125.969      64.319      
135        45        -3.446      -125.9643      45.0204      
135        60        -3.4464      -125.9675      -73.618      
135        75        -3.4488      -125.975      -90.9171      
135        90        -3.45      -125.9788      118.6333      
135        105        -3.4488      -125.975      89.5595      
135        120        -3.4464      -125.9676      106.2895      
135        135        -3.446      -125.9643      -135.7514      
135        150        -3.4488      -125.9691      -115.6611      
135        165        -3.4529      -125.9776      -112.1432      
135        180        -3.4549      -125.9818      137.6627      
135        195        -3.4529      -125.9776      68.6818      
135        210        -3.4488      -125.969      64.8816      
135        225        -3.446      -125.9643      45.1809      
135        240        -3.4464      -125.9675      -72.6085      
135        255        -3.4488      -125.975      -89.0143      
135        270        -3.45      -125.9788      11.0298      
135        285        -3.4488      -125.975      86.0589      
135        300        -3.4464      -125.9676      101.3853      
135        315        -3.446      -125.9643      -132.317      
135        330        -3.4488      -125.9691      -113.839      
135        345        -3.4529      -125.9776      -110.1443      
135        360        -3.4549      -125.9818      14.1619      
150        0        -6.385      -126.2045      16.9298      
150        15        -6.3837      -126.2018      64.8522      
150        30        -6.3809      -126.1965      61.898      
150        45        -6.3787      -126.1935      50.7041      
150        60        -6.3783      -126.1953      -5.3908      
150        75        -6.3792      -126.1997      -66.7042      
150        90        -6.3798      -126.202      74.4804      
150        105        -6.3792      -126.1997      111.4868      
150        120        -6.3783      -126.1953      171.828      
150        135        -6.3787      -126.1935      -129.4534      
150        150        -6.3809      -126.1965      -117.8993      
150        165        -6.3837      -126.2019      -114.5561      
150        180        -6.385      -126.2045      106.0843      
150        195        -6.3837      -126.2018      65.971      
150        210        -6.3809      -126.1965      62.3753      
150        225        -6.3787      -126.1935      50.8079      
150        240        -6.3783      -126.1953      -5.3116      
150        255        -6.3792      -126.1997      -63.5015      
150        270        -6.3798      -126.202      13.1172      
150        285        -6.3792      -126.1997      105.2301      
150        300        -6.3783      -126.1953      170.592      
150        315        -6.3787      -126.1935      -127.2367      
150        330        -6.3809      -126.1965      -116.3403      
150        345        -6.3837      -126.2019      -112.6608      
150        360        -6.385      -126.2045      16.9298      
165        0        -12.0476      -126.3671      22.0372      
165        15        -12.047      -126.3661      59.8185      
165        30        -12.0454      -126.3643      58.3452      
165        45        -12.0437      -126.363      54.7674      
165        60        -12.0427      -126.3632      49.1454      
165        75        -12.0422      -126.3643      42.8129      
