Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.08333,90.0000025,180.000005,1.64925375e-25,0.0231529735
0.08333,90.0000025,195.000002,1.32229481e-12,0.0231529884
0.08333,90.0000025,209.999999,3.75425255e-12,0.0231530573
0.08333,90.0000025,224.999996,4.6311982e-12,0.0231531635
0.08333,90.0000025,240.000007,3.20361944e-12,0.0231532846
0.08333,90.0000025,255.000004,1.00438028e-12,0.0231533851
0.08333,90.0000025,270.000001,2.23352599e-27,0.0231534224
0.08333,90.0000025,284.999998,1.00438028e-12,0.0231533851
0.08333,90.0000025,299.999995,3.20361944e-12,0.0231532846
0.08333,90.0000025,314.999992,4.6311982e-12,0.0231531635
0.08333,90.0000025,329.999989,3.75425472e-12,0.0231530573
0.08333,90.0000025,345.000013,1.32229232e-12,0.0231529884
0.08333,90.0000025,360.00001,1.17262214e-37,0.0231529735
0.08333,105,0,1.6333378e-37,0.0215626583
0.08333,105,15.0000004,4.78961217e-13,0.0215626638
0.08333,105,30.0000008,1.53362121e-12,0.0215626638
0.08333,105,45.0000013,2.26969723e-12,0.0215626732
0.08333,105,60.0000017,1.91309859e-12,0.0215626843
0.08333,105,74.9999987,6.98061726e-13,0.0215626992
0.08333,105,90.0000025,2.20741061e-26,0.0215626992
0.08333,105,105,6.98061617e-13,0.0215626992
0.08333,105,120.000003,1.91309902e-12,0.0215626843
0.08333,105,135,2.26969723e-12,0.0215626732
0.08333,105,149.999997,1.53362121e-12,0.0215626638
0.08333,105,164.999994,4.78961543e-13,0.0215626638
0.08333,105,180.000005,5.73585386e-26,0.0215626583
0.08333,105,195.000002,4.78961217e-13,0.0215626638
0.08333,105,209.999999,1.53362121e-12,0.0215626638
0.08333,105,224.999996,2.26969723e-12,0.0215626732
0.08333,105,240.000007,1.91309837e-12,0.0215626843
0.08333,105,255.000004,6.98061238e-13,0.0215626992
0.08333,105,270.000001,1.64269595e-27,0.0215626992
0.08333,105,284.999998,6.98061509e-13,0.0215626992
0.08333,105,299.999995,1.91309859e-12,0.0215626843
0.08333,105,314.999992,2.26969723e-12,0.0215626732
0.08333,105,329.999989,1.53362186e-12,0.0215626638
0.08333,105,345.000013,4.78960513e-13,0.0215626638
0.08333,105,360.00001,1.6333378e-37,0.0215626583
0.08333,120.000003,0,1.51878925e-36,0.0172521807
0.08333,120.000003,15.0000004,1.37931387e-13,0.0172521826
0.08333,120.000003,30.0000008,4.87227446e-13,0.0172521789
0.08333,120.000003,45.0000013,8.99460682e-13,0.0172521509
0.08333,120.000003,60.0000017,9.62515007e-13,0.0172520988
0.08333,120.000003,74.9999987,4.12350411e-13,0.0172520466
0.08333,120.000003,90.0000025,1.37668508e-26,0.0172520224
0.08333,120.000003,105,4.1235033e-13,0.0172520466
0.08333,120.000003,120.000003,9.62515007e-13,0.0172520988
0.08333,120.000003,135,8.99460682e-13,0.0172521509
0.08333,120.000003,149.999997,4.87227554e-13,0.0172521789
0.08333,120.000003,164.999994,1.37931509e-13,0.0172521826
0.08333,120.000003,180.000005,1.63193658e-26,0.0172521807
0.08333,120.000003,195.000002,1.37931428e-13,0.0172521826
0.08333,120.000003,209.999999,4.87227446e-13,0.0172521789
0.08333,120.000003,224.999996,8.99460519e-13,0.0172521509
0.08333,120.000003,240.000007,9.62514899e-13,0.0172520988
0.08333,120.000003,255.000004,4.12350167e-13,0.0172520466
0.08333,120.000003,270.000001,1.02436814e-27,0.0172520224
0.08333,120.000003,284.999998,4.12350248e-13,0.0172520466
0.08333,120.000003,299.999995,9.62515007e-13,0.0172520988
0.08333,120.000003,314.999992,8.99460899e-13,0.0172521509
0.08333,120.000003,329.999989,4.87227825e-13,0.0172521789
0.08333,120.000003,345.000013,1.37931157e-13,0.0172521826
0.08333,120.000003,360.00001,1.51878925e-36,0.0172521807
0.08333,135,0,4.88752546e-37,0.0114291813
0.08333,135,15.0000004,3.19832187e-14,0.011429185
0.08333,135,30.0000008,1.28160733e-13,0.0114291795
0.08333,135,45.0000013,3.0146526e-13,0.0114291515
0.08333,135,60.0000017,3.8632758e-13,0.0114290966
0.08333,135,74.9999987,1.8103993e-13,0.0114290407
0.08333,135,90.0000025,6.20455973e-27,0.0114290165
0.08333,135,105,1.81039903e-13,0.0114290407
0.08333,135,120.000003,3.86327661e-13,0.0114290966
0.08333,135,135,3.01465233e-13,0.0114291515
0.08333,135,149.999997,1.28160774e-13,0.0114291795
0.08333,135,164.999994,3.19832424e-14,0.011429185
0.08333,135,180.000005,3.76897903e-27,0.0114291813
0.08333,135,195.000002,3.19832255e-14,0.011429185
0.08333,135,209.999999,1.28160733e-13,0.0114291795
0.08333,135,224.999996,3.01465179e-13,0.0114291515
0.08333,135,240.000007,3.8632758e-13,0.0114290966
0.08333,135,255.000004,1.81039848e-13,0.0114290407
0.08333,135,270.000001,4.61943108e-28,0.0114290165
0.08333,135,284.999998,1.81039875e-13,0.0114290407
0.08333,135,299.999995,3.8632758e-13,0.0114290966
0.08333,135,314.999992,3.01465341e-13,0.0114291515
0.08333,135,329.999989,1.28160855e-13,0.0114291795
0.08333,135,345.000013,3.19831577e-14,0.011429185
